"Comparison","Z.Statistic","P.value","Adjusted.P.value"
"Appliances - Chemicals and Industrial",0.0878421656600676,0.465001061962624,0.465001061962624
"Appliances - Digitalization",-9.96657233628628,1.06734497927244e-23,5.33672489636221e-22
"Chemicals and Industrial - Digitalization",-5.26173331970544,7.13518244823876e-08,2.92542480377789e-06
"Appliances - Energy Supply",-8.31296226854309,4.66711021515667e-17,2.2402129032752e-15
"Chemicals and Industrial - Energy Supply",-3.875815930818,5.31339987981391e-05,0.00180655595913673
"Digitalization - Energy Supply",2.84542320440198,0.00221762263629394,0.0687463017251121
"Appliances - Food and Health",-5.15085096264762,1.29653596886132e-07,5.1861438754453e-06
"Chemicals and Industrial - Food and Health",-2.6762106877843,0.0037229910441296,0.111689731323888
"Digitalization - Food and Health",4.42455641660619,4.83203236232422e-06,0.000178785197405996
"Energy Supply - Food and Health",2.06416713947928,0.0195009359887909,0.40951965576461
"Appliances - Infrastructure",10.2171646681956,8.3064521618998e-25,4.3193551241879e-23
"Chemicals and Industrial - Infrastructure",5.12218834650797,1.51004998189251e-07,5.88919492938078e-06
"Digitalization - Infrastructure",17.2964371221152,2.50197011959154e-67,1.37608356577534e-65
"Energy Supply - Infrastructure",16.6609431842534,1.26009296203081e-62,6.80450199496638e-61
"Food and Health - Infrastructure",13.3491072754112,5.99384530466511e-41,3.17673801147251e-39
"Appliances - Materials",-1.01329019601511,0.155460784506351,1
"Chemicals and Industrial - Materials",-0.850909080989499,0.197409929994175,1
"Digitalization - Materials",3.6938977852262,0.000110421301512357,0.00364390294990777
"Energy Supply - Materials",2.38285297770351,0.00858952687768616,0.214738171942154
"Food and Health - Materials",1.35022226629548,0.0884723489773675,1
"Infrastructure - Materials",-5.65896427820685,7.61446230871107e-09,3.27421879274576e-07
"Appliances - Sea and Water",-0.823487996762676,0.205115270139873,1
"Chemicals and Industrial - Sea and Water",-0.642847447621696,0.260161546048254,1
"Digitalization - Sea and Water",5.07100980931097,1.97855186578786e-07,7.51849708999388e-06
"Energy Supply - Sea and Water",3.51313764485591,0.000221423998564157,0.00708556795405303
"Food and Health - Sea and Water",2.15244708418423,0.0156810793571011,0.360664825213326
"Infrastructure - Sea and Water",-6.65683686446133,1.39891716009466e-11,6.57491065244491e-10
"Materials - Sea and Water",0.308645665404925,0.378795539841878,1
"Appliances - Space and Defense",2.51695117663589,0.0059187615720572,0.159806562445545
"Chemicals and Industrial - Space and Defense",2.04716519251544,0.0203209338804125,0.386097743727838
"Digitalization - Space and Defense",6.32667344636426,1.25251349418935e-10,5.76156207327103e-09
"Energy Supply - Space and Defense",5.28912853562173,6.14502526877956e-08,2.58091061288742e-06
"Food and Health - Space and Defense",4.39316244747881,5.58567937773107e-06,0.000201084457598318
"Infrastructure - Space and Defense",-1.43808458614057,0.0752050277626766,1
"Materials - Space and Defense",2.66933450708501,0.00380008582130783,0.110202488817927
"Sea and Water - Space and Defense",2.6607739011712,0.00389806445155159,0.109145804643445
"Appliances - Storage Technology",-1.181148143773,0.118771938650693,1
"Chemicals and Industrial - Storage Technology",-1.11297149880418,0.132860335214381,1
"Digitalization - Storage Technology",1.5977512135602,0.0550491780412793,0.935836026701748
"Energy Supply - Storage Technology",0.784649960986363,0.21632941436613,1
"Food and Health - Storage Technology",0.20347386588936,0.419382335206833,0.838764670413667
"Infrastructure - Storage Technology",-3.92859040754622,4.27226141209546e-05,0.00149529149423341
"Materials - Storage Technology",-0.528192467355429,0.298682878517746,1
"Sea and Water - Storage Technology",-0.75715829775995,0.224477515459083,1
"Space and Defense - Storage Technology",-2.45255577302133,0.00709226941621796,0.184399004821667
"Appliances - Transportation",2.23629850259214,0.0126661122382237,0.303986693717368
"Chemicals and Industrial - Transportation",1.13556347354245,0.128069651528427,1
"Digitalization - Transportation",10.0321240829114,5.50608576069283e-24,2.80810373795334e-22
"Energy Supply - Transportation",8.47983491984474,1.12756839398935e-17,5.52508513054784e-16
"Food and Health - Transportation",6.11344616569112,4.87511363664953e-10,2.14505000012579e-08
"Infrastructure - Transportation",-6.24979971196884,2.05489686149653e-10,9.24703587673438e-09
"Materials - Transportation",2.0562797733243,0.0198777783911557,0.397555567823113
"Sea and Water - Transportation",2.11657793871917,0.017147842048033,0.377252525056726
"Space and Defense - Transportation",-1.49842361718912,0.0670116120727792,1
"Storage Technology - Transportation",1.81547560680208,0.0347254256573905,0.62505766183303
