"term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"Category.Type","Chemicals and Industrial-Appliances",0,-0.0421532226566851,-0.136015767127919,0.0517093218145485,0.936143188380914
"Category.Type","Digitalization-Appliances",0,0.0699568143920481,0.0184938518112332,0.121419776972863,0.000640727248847117
"Category.Type","Energy Supply-Appliances",0,0.104713547221393,0.0613764955636969,0.148050598879089,6.48969766814389e-12
"Category.Type","Food and Health-Appliances",0,0.0635579769194661,0.0142776023207105,0.112838351518222,0.00168538035644383
"Category.Type","Infrastructure-Appliances",0,-0.131952675410206,-0.182066620002925,-0.0818387308174867,5.85886894555188e-12
"Category.Type","Materials-Appliances",0,0.0370126918020939,-0.0683052766668269,0.142330660271015,0.988727671564989
"Category.Type","Sea and Water-Appliances",0,-0.0199140182853972,-0.101862199410685,0.0620341628398907,0.999475065054029
"Category.Type","Space and Defense-Appliances",0,-0.0988586762014782,-0.227111952013055,0.029394599610099,0.314389870321755
"Category.Type","Storage Technology-Appliances",0,0.0545799684525219,-0.128433672348004,0.237593609253048,0.9969625476672
"Category.Type","Transportation-Appliances",0,-0.0680576123974087,-0.12297119052946,-0.0131440342653576,0.00327576934606477
"Category.Type","Digitalization-Chemicals and Industrial",0,0.112110037048733,0.0130638869083877,0.211156187189079,0.0122071791176844
"Category.Type","Energy Supply-Chemicals and Industrial",0,0.146866769878078,0.0517888892411426,0.241944650515013,3.76974779171535e-05
"Category.Type","Food and Health-Chemicals and Industrial",0,0.105711199576151,0.0077813335463072,0.203641065605995,0.0219931056305861
"Category.Type","Infrastructure-Chemicals and Industrial",0,-0.0897994527535205,-0.188151426717807,0.00855252121076565,0.110706314432128
"Category.Type","Materials-Chemicals and Industrial",0,0.079165914458779,-0.0559398878683235,0.214271716785881,0.725001644656159
"Category.Type","Sea and Water-Chemicals and Industrial",0,0.0222392043712879,-0.0955623564408359,0.140040765183412,0.999946928735319
"Category.Type","Space and Defense-Chemicals and Industrial",0,-0.0567054535447931,-0.210362884528231,0.096951977438645,0.983688772312013
"Category.Type","Storage Technology-Chemicals and Industrial",0,0.096733191109207,-0.104899385770357,0.298365767988771,0.903890255622444
"Category.Type","Transportation-Chemicals and Industrial",0,-0.0259043897407236,-0.126786520979583,0.0749777414981356,0.99914877821022
"Category.Type","Energy Supply-Digitalization",0,0.0347567328293447,-0.018890845395505,0.0884043110541943,0.586074444211535
"Category.Type","Food and Health-Digitalization",0,-0.00639883747258202,-0.0649523849620658,0.0521547100169018,0.999999715005925
"Category.Type","Infrastructure-Digitalization",0,-0.201909489802254,-0.261166304141633,-0.142652675462874,5.82456305409096e-12
"Category.Type","Materials-Digitalization",0,-0.0329441225899543,-0.142907012172896,0.077018766992987,0.996845693359638
"Category.Type","Sea and Water-Digitalization",0,-0.0898708326774453,-0.177708563708891,-0.00203310164599985,0.0397196507731655
"Category.Type","Space and Defense-Digitalization",0,-0.168815490593526,-0.300909643981971,-0.0367213372050812,0.00197270136566263
"Category.Type","Storage Technology-Digitalization",0,-0.0153768459395263,-0.201102329710799,0.170348637831747,0.999999981297324
"Category.Type","Transportation-Digitalization",0,-0.138014426789457,-0.201382113083612,-0.0746467404953018,1.80499171165138e-10
"Category.Type","Food and Health-Energy Supply",0,-0.0411555703019267,-0.0927131250576623,0.010401984453809,0.263875764547421
"Category.Type","Infrastructure-Energy Supply",0,-0.236666222631598,-0.289021103726288,-0.184311341536909,5.75106628986077e-12
"Category.Type","Materials-Energy Supply",0,-0.0677008554192989,-0.174103395869316,0.0387016850307184,0.613010498353845
"Category.Type","Sea and Water-Energy Supply",0,-0.12462756550679,-0.20796501520103,-0.0412901158125499,8.29270794427961e-05
"Category.Type","Space and Defense-Energy Supply",0,-0.203572223422871,-0.332717602311151,-0.0744268445345906,2.24298835121983e-05
"Category.Type","Storage Technology-Energy Supply",0,-0.0501335787688709,-0.233773495047606,0.133506337509864,0.998556268721954
"Category.Type","Transportation-Energy Supply",0,-0.172771159618801,-0.229737177515982,-0.115805141721621,5.85698156641001e-12
"Category.Type","Infrastructure-Food and Health",0,-0.195510652329672,-0.252882150903885,-0.138139153755458,5.82611736632543e-12
"Category.Type","Materials-Food and Health",0,-0.0265452851173723,-0.135503790468857,0.0824132202341122,0.99946311919189
"Category.Type","Sea and Water-Food and Health",0,-0.0834719952048633,-0.170049046412166,0.00310505600243918,0.0703485018158023
"Category.Type","Space and Defense-Food and Health",0,-0.162416653120944,-0.293675878177355,-0.031157428064534,0.00336065394442853
"Category.Type","Storage Technology-Food and Health",0,-0.00897800846694424,-0.194110593727003,0.176154576793114,0.999999999906945
"Category.Type","Transportation-Food and Health",0,-0.131615589316875,-0.193223888021463,-0.0700072906122867,4.46891190719612e-10
"Category.Type","Materials-Infrastructure",0,0.168965367212299,0.0596273225504441,0.278303411874155,3.7301721522387e-05
"Category.Type","Sea and Water-Infrastructure",0,0.112038657124808,0.0249844331158593,0.199092881133758,0.00174837303840458
"Category.Type","Space and Defense-Infrastructure",0,0.0330939992087274,-0.0984804522796136,0.164668450697068,0.999289366342266
"Category.Type","Storage Technology-Infrastructure",0,0.186532643862727,0.00117642938066273,0.371888858344792,0.0469772413209943
"Category.Type","Transportation-Infrastructure",0,0.0638950630127969,0.00161798383175168,0.126172142193842,0.038595682692293
"Category.Type","Sea and Water-Materials",0,-0.056926710087491,-0.184044391617555,0.070190971442573,0.937290318432605
"Category.Type","Space and Defense-Materials",0,-0.135871368003572,-0.296782223213021,0.025039487205877,0.190980565343999
