"Filter","ModelType","Variable","Estimate","StdError","pValue"
"R2_0.85_Logistic_1","num_tech","(Intercept)",0.335034642033352,0.00888506695487276,4.85213627316894e-228
"R2_0.85_Logistic_1","num_tech","(Intercept)",0.174048295341061,0.00579982969241737,1.17412180346298e-164
"R2_0.85_Logistic_1","num_tech","(Intercept)",0.310748186605808,0.00706404840642307,8.68299511948281e-294
"R2_0.85_Logistic_1","num_tech","(Intercept)",-3.42739981367595,0.150752718757736,6.76504214506062e-103
"R2_0.85_Logistic_1","num_tech","Capacity_Average",NA,NA,NA
"R2_0.85_Logistic_1","num_tech","demNot Democracy",NA,NA,NA
"R2_0.85_Logistic_1","num_tech","direction_scitech_Average",NA,NA,NA
"R2_0.85_Logistic_1","num_tech","easier_scitech_Average",NA,NA,NA
"R2_0.85_Logistic_1","num_tech","FirstCommercialYr",0.00192257537564814,7.91489440517951e-05,1.35072919847587e-115
"R2_0.85_Logistic_1","num_tech","log_Average.lifetime",-0.0284018616771406,0.00258677361548806,2.98079853556864e-27
"R2_0.85_Logistic_1","num_tech","Log_GDPavg",NA,NA,NA
"R2_0.85_Logistic_1","num_tech","log_Granularity.Numerical",-0.00914492139675674,0.000753615392701825,1.36886972342065e-32
"R2_0.85_Logistic_1","num_tech","log_Material.Use.Numerical",-0.0162737090488573,0.00111650130088839,6.84838001020081e-46
"R2_0.85_Logistic_1","num_tech","rdspending_Average",NA,NA,NA
"R2_0.85_Logistic_1","gov","(Intercept)",0.16533355825282,0.0730220994346284,0.0239399726529255
"R2_0.85_Logistic_1","gov","(Intercept)",0.271341482023529,0.080853398200556,0.000843614849119715
"R2_0.85_Logistic_1","gov","(Intercept)",0.22654264898035,0.00478991932130867,0
"R2_0.85_Logistic_1","gov","(Intercept)",0.242908166975572,0.00938439008123997,6.6865997919218e-116
"R2_0.85_Logistic_1","gov","(Intercept)",0.0192703316344118,0.0328111717586836,0.557052457719544
"R2_0.85_Logistic_1","gov","(Intercept)",0.258735663625353,0.00656092045170319,4.22531256370516e-259
"R2_0.85_Logistic_1","gov","Capacity_Average",0.017283869251379,0.00455860891779954,0.000153842662937701
"R2_0.85_Logistic_1","gov","demNot Democracy",-0.0509825059069478,0.0083656523887423,1.28950467665675e-09
"R2_0.85_Logistic_1","gov","direction_scitech_Average",0.00784734893983656,0.0107801219590637,0.466945956970035
"R2_0.85_Logistic_1","gov","easier_scitech_Average",-0.00751773739680084,0.0113628890121247,0.508492610691795
"R2_0.85_Logistic_1","gov","FirstCommercialYr",NA,NA,NA
"R2_0.85_Logistic_1","gov","log_Average.lifetime",NA,NA,NA
"R2_0.85_Logistic_1","gov","Log_GDPavg",0.0238589460981066,0.00371464900309748,1.61547279059037e-10
"R2_0.85_Logistic_1","gov","log_Granularity.Numerical",NA,NA,NA
"R2_0.85_Logistic_1","gov","log_Material.Use.Numerical",NA,NA,NA
"R2_0.85_Logistic_1","gov","rdspending_Average",0.0104004370939354,0.00718192807024679,0.147861068309228
"R2_0.85_Logistic_1","dunn_test",NA,NA,NA,NA
"R2_0.85_Logistic_2","num_tech","(Intercept)",0.48169475440768,0.0142045261893896,5.18802793066668e-197
"R2_0.85_Logistic_2","num_tech","(Intercept)",0.203734055963558,0.00965954493516766,3.75724749777652e-90
"R2_0.85_Logistic_2","num_tech","(Intercept)",0.414409532363413,0.0113236370936943,5.931912510289e-227
"R2_0.85_Logistic_2","num_tech","(Intercept)",-5.74786965053766,0.240897337554125,8.86563382454229e-113
"R2_0.85_Logistic_2","num_tech","Capacity_Average",NA,NA,NA
"R2_0.85_Logistic_2","num_tech","demNot Democracy",NA,NA,NA
"R2_0.85_Logistic_2","num_tech","direction_scitech_Average",NA,NA,NA
"R2_0.85_Logistic_2","num_tech","easier_scitech_Average",NA,NA,NA
"R2_0.85_Logistic_2","num_tech","FirstCommercialYr",0.00317302507436508,0.000126255740354571,1.48136743664822e-123
"R2_0.85_Logistic_2","num_tech","log_Average.lifetime",-0.0418663120919057,0.00418693520229423,5.01561968019729e-23
"R2_0.85_Logistic_2","num_tech","Log_GDPavg",NA,NA,NA
"R2_0.85_Logistic_2","num_tech","log_Granularity.Numerical",-0.0164851663176353,0.00123319553932783,5.34205333087969e-39
"R2_0.85_Logistic_2","num_tech","log_Material.Use.Numerical",-0.0273403401601077,0.0017949816606905,6.66856691014603e-50
"R2_0.85_Logistic_2","num_tech","rdspending_Average",NA,NA,NA
"R2_0.85_Logistic_2","gov","(Intercept)",0.205609407060182,0.1068136306456,0.0547121789971843
"R2_0.85_Logistic_2","gov","(Intercept)",0.291717701516574,0.119663953660001,0.0150673573132465
"R2_0.85_Logistic_2","gov","(Intercept)",0.290666576617781,0.00776957596404945,1.00529907544565e-239
"R2_0.85_Logistic_2","gov","(Intercept)",0.336003673889984,0.0148844078069701,3.30926661809327e-94
"R2_0.85_Logistic_2","gov","(Intercept)",-0.00414260031842051,0.0525920410584043,0.93722310605036
"R2_0.85_Logistic_2","gov","(Intercept)",0.336887959609647,0.0105890099279723,1.97277777349278e-185
"R2_0.85_Logistic_2","gov","Capacity_Average",0.0184414820410392,0.00740788146512078,0.0128645316839217
"R2_0.85_Logistic_2","gov","demNot Democracy",-0.0785657236155528,0.0135758128060241,8.0983166434794e-09
"R2_0.85_Logistic_2","gov","direction_scitech_Average",0.00919737195930829,0.0157669691652017,0.55989036217795
"R2_0.85_Logistic_2","gov","easier_scitech_Average",-0.00341953937056805,0.0168098369326726,0.838872257549803
"R2_0.85_Logistic_2","gov","FirstCommercialYr",NA,NA,NA
"R2_0.85_Logistic_2","gov","log_Average.lifetime",NA,NA,NA
"R2_0.85_Logistic_2","gov","Log_GDPavg",0.0333701031839531,0.0059456883731735,2.21808576005198e-08
"R2_0.85_Logistic_2","gov","log_Granularity.Numerical",NA,NA,NA
"R2_0.85_Logistic_2","gov","log_Material.Use.Numerical",NA,NA,NA
"R2_0.85_Logistic_2","gov","rdspending_Average",-0.00718562083887885,0.0115657920814255,0.534532945825055
"R2_0.85_Logistic_2","dunn_test",NA,NA,NA,NA
"R2_0.85_Logistic_5","num_tech","(Intercept)",0.679571176519393,0.0282739001835817,3.66055701230795e-112
"R2_0.85_Logistic_5","num_tech","(Intercept)",0.24368169652137,0.0188799818798099,7.4181115873796e-37
"R2_0.85_Logistic_5","num_tech","(Intercept)",0.574963852886031,0.0223683473917907,1.44744296946969e-127
"R2_0.85_Logistic_5","num_tech","(Intercept)",-9.28678281020247,0.483520738215331,1.15042281613364e-76
"R2_0.85_Logistic_5","num_tech","Capacity_Average",NA,NA,NA
"R2_0.85_Logistic_5","num_tech","demNot Democracy",NA,NA,NA
"R2_0.85_Logistic_5","num_tech","direction_scitech_Average",NA,NA,NA
