,Variable,Technology Name,Country Code,Country Name,Metric,Exponential Fit,exponential goodness,Logistic Fit,Logistic Saturation,Logistic Inflection Year,logistic goodness,Gompertz Fit,gompertz goodness,Delta T,Vintage,Number of Points
0,Sugar Output_Annual Production_JM,Cane Sugar,JAM,Jamaica,Annual Production,0.010363701915580068,0.48788533725969596,0.2011690295950487,289.20506862913794,1939.3499369516815,0.7068338342143385,0.17177354164563507,0.6990041454958024,21.84456108138724,1750,254
1,Sugar Output_Annual Production_BB,Cane Sugar,BRB,Barbados,Annual Production,err,,0.03645104540221827,104.68610519484656,1888.3465498957319,0.5592790913578388,0.02419531507317281,0.5444449504923607,120.55756168806643,1750,233
2,Sugar Output_Annual Production_CU,Cane Sugar,CUB,Cuba,Annual Production,0.019933140887228327,-550707.1229162823,0.06952940831865784,5281.603595311863,1916.2306737149993,0.7412592773387291,0.057507460328412016,0.7367365826744999,63.20274055162947,1786,203
3,Beer_Annual Production_GB,Beer Production,GBR,UK,Annual Production,err,,0.2918319546762894,50514.11694704066,1875.207966078705,0.899740088949415,0.2842530383485395,0.8997270365520542,15.058149336480035,1750,202
4,Sugar Output_Annual Production_MU,Cane Sugar,MUS,Mauritius,Annual Production,0.0343762725567744,-1.4662270529067476e+30,0.03485197895082759,684.3436731954524,1934.8358460258946,0.8876077513833437,0.015004056367545541,0.871386939537532,126.08894206187075,1813,198
5,Railroad_Total Length_FI,Railroad,FIN,Finland,Total Length,0.028805244076024222,-7.365288270739895e+21,0.06303629901363256,5750.938615382821,1904.2977491625509,0.9721879355068677,0.04043647887351499,0.9770530835975281,69.71299431335702,1861,140
6,Railroad_Total Length_FR,Railroad,FRA,France,Total Length,0.04382773133010727,-4.247364077563759e+47,0.10691844568148821,38507.02482699834,1873.2535681812135,0.9687311979144729,0.07509555098554295,0.9633620652226025,41.10094499281793,1828,173
7,Railroad_Total Length_NO,Railroad,NOR,Norway,Total Length,0.027928338631461776,-3.959934818826023e+16,0.06813337184900214,4314.916487163274,1899.852071034474,0.9880643518335048,0.04518218788908183,0.985060555932862,64.4977495670031,1854,147
8,Railroad_Total Length_DK,Railroad,DNK,Denmark,Total Length,0.028239483916161795,-4.419344401142965e+17,0.1050770944100625,4569.570976241439,1886.324025736166,0.7311647163175132,0.079034267921706,0.7215823835899576,41.82119023507766,1847,153
9,Sugar Output_Annual Production_ID,Cane Sugar,IDN,Indonesia,Annual Production,0.03901845663556733,-2.056429301445904e+39,0.011871603812041295,4768708.9444869375,2648.702950961512,0.526522489337172,0.0064822322255903815,0.5298758503821299,370.1647413650358,1827,175
10,Railroad_Total Length_SE,Railroad,SWE,Sweden,Total Length,0.036591562405502605,-5.3035111170197765e+34,-1.6744173468073895,11290.152777773552,2026.6522518317288,-2.220446049250313e-16,-1.2370676930655955,-2.220446049250313e-16,-2.6244646611260523,1856,144
11,Radio_Total Number_RU,Radio,RUS,Russia,Total Number,0.09184694727434287,-5.591477712668037e+133,0.18393612108023102,115611.69281144995,1960.2698292131643,0.6950742483687076,0.1360802953376514,0.6884819053050457,23.89117009135811,1928,66
12,Railroad_Total Length_IT,Railroad,ITA,Italy,Total Length,0.04840545021715702,-1.7663908249311668e+54,0.08383089028546886,20905.786697996497,1882.3402343372543,0.982537886725353,0.05793319391787324,0.9803004059784218,52.42040421744355,1839,159
13,Railroad_Total Length_PT,Railroad,PRT,Portugal,Total Length,0.029754495644700014,-2.7439969648906705e+21,-1.804262032389659,2672.9370629370633,2086.6709678542325,0.0,0.05022721602231001,0.9690881991083903,-2.4355936531304163,1854,143
14,Beer_Annual Production_BE,Beer Production,BEL,Belgium,Annual Production,err,,0.04633851879272205,13059.575309063044,1854.1426181322238,0.5722173309899623,0.03232542078406737,0.5623798023357411,94.8336129242576,1831,171
15,Radio_Total Number_SE,Radio,SWE,Sweden,Total Number,0.09829092269404709,-3.419087864377479e+145,0.056731404726440775,11123.56657946856,1977.209674309843,0.9738797153352111,0.022007975949385146,0.9744633944879113,77.46060891427778,1923,71
16,Railroad_Total Length_ES,Railroad,ESP,Spain,Total Length,0.04187619047326183,-4.864615558951184e+42,0.07996338777079164,14557.82575687447,1882.959132954009,0.9737988392847239,-1.9901647521105639,0.0,54.95576509675603,1848,145
17,Radio_Total Number_CH,Radio,CHE,Switzerland,Total Number,0.07255769071540118,-3.055105532923519e+98,0.06428472911187832,7430.423799614694,1967.8501370282547,0.9747138948246037,0.03300796169669373,0.98368844248385,68.35914556044146,1925,69
18,Railroad_Total Length_GB,Railroad,GBR,United Kingdom,Total Length,0.03412894956545637,-2.974442136473395e+30,0.12638743343847847,26653.359288395848,1857.3758534470653,0.7502974668956377,0.09239952594955261,0.7476791464956543,34.769668432356625,1825,168
19,Radio_Total Number_NO,Radio,NOR,Norway,Total Number,0.06147477904856203,-2.7617078282179475e+80,0.07753806627426668,3841.863025309746,1962.7877594178415,0.9693183331360385,0.04366033348271629,0.9799779980367453,56.67473237117429,1926,68
20,Radio_Total Number_PT,Radio,PRT,Portugal,Total Number,0.07959971899760271,-1.1935503219895748e+112,0.07246858781043598,3318.8489890829296,1977.4253051590954,0.9678577373836936,0.03416659263654598,0.9769221929565157,60.63936510212508,1933,67
21,Railroad_Total Length_US,Railroad,USA,United States,Total Length,0.053131236929178656,-1.8981577870145077e+65,-0.48853270216523054,242778.04203610364,2000.5007780696126,0.00010969475614053259,-0.48632792580042383,0.00010920349622611791,-8.995199574554086,1830,166
22,Radio_Total Number_FR,Radio,FRA,France,Total Number,0.056188243068685,-1.171658353440719e+69,0.08517854477323279,67989.0351455846,1978.3175057842664,0.9858537907654568,0.030853296011229426,0.9776566516279148,51.59103347411715,1933,67
23,Railroad_Total Length_DE,Railroad,DEU,Germany,Total Length,0.05316454778949769,-6.205501087662756e+61,-0.6016397794986627,35522.79345166609,2059.036737405362,-2.220446049250313e-16,0.1011764459918075,0.7472604878057422,-7.3041200140294364,1835,155
24,Railroad_Total Length_PA,Railroad,PAN,Panama,Total Length,0.05220446796472292,0.8024406327469653,5.00083756907446,485.7316568886297,1985.242225697336,0.056773973516496046,17.379440190468706,0.056723425836547214,0.878742629404328,1855,140
25,Railroad_Total Length_BE,Railroad,BEL,Belgium,Total Length,0.032523641098299035,-3.3608655710294274e+26,0.11440403818573726,4605.461257543454,1864.025749011787,0.9299495053026584,0.08037863764854294,0.9222107396943436,38.41166119973809,1835,154
26,Railroad_Total Length_CH,Railroad,CHE,Switzerland,Total Length,0.03690056320755376,-1.0871518605116262e+34,0.07608753159193027,5139.685053299521,1884.6340411848926,0.9855297087025157,0.05215370795809246,0.9829967961552337,57.755180943976214,1847,142
27,Railroad_Total Length_NL,Railroad,NLD,Netherlands,Total Length,0.03304340949825702,-1.5276954621567515e+27,0.10663927446345076,3187.2885860650626,1875.4823592215762,0.9544834168660847,0.07758421065983105,0.951678478942641,41.20854325747106,1839,147
28,Railroad_Total Length_RU,Railroad,RUS,Russia,Total Length,0.054215409723232834,-2.325507567545684e+65,0.041189194809435996,159484.36942161858,1928.1822604759918,0.9878421334602836,0.02208391045473648,0.9904582370033955,106.68936780637719,1838,148
29,Railroad_Total Length_GR,Railroad,GRC,Greece,Total Length,0.04309801088502385,-1.3375902449826753e+46,0.11790089391569096,2579.6860525355582,1902.7584513217655,0.9760950622987546,0.0796500248439294,0.9701678410038997,37.272398950722454,1869,119
30,Sugar Output_Annual Production_PH,Cane Sugar,PHL,Philippines,Annual Production,0.031031282648214576,-1.3958438029029698e+25,0.03974222094966837,3108.5626980281027,1964.2583409937997,0.8734530445696154,0.01555069224077944,0.874433223733773,110.57381921955995,1849,160
31,Telegraph Traffic_Total Number_NL,Telegraph Traffic,NLD,Netherlands,Cumulative Calculation,0.09628924008408359,-9.411692304217444e+140,0.05292409180381082,619.2026436891681,1928.6965645435257,0.9978234942955159,0.028412150323141743,0.9982845721453176,83.03305743937234,1852,139
32,Postal Traffic_Total Number_FR,Postal Traffic,FRA,France,Cumulative Calculation,0.05354285080423472,-7.7447083679824445e+65,0.030995773995774405,1405365.8927382135,1993.1379196565922,0.9937201518177072,0.007432445662149906,0.9961330162892944,141.7757515999286,1830,164
